id	description	en	local
		New Game	新遊戲		
		Waiting for server...	等待伺服器...		
		Joined	已加入		
		There are ### players connected	目前有 ### 位玩家連接		
		Player Joined	玩家加入		
		### has joined the game	### 已加入遊戲		
		Player Disconnected	玩家已離開		
		### has left the game	### 已離開遊戲		
		SET ROGUE MODE SAVE	SET ROGUE MODE SAVE		
		SERVER SLOWDOWN	伺服器減速	
		### is slowing the game.	### is slowing the game.		
		Error connecting to server:	無法連接到伺服器:	
		Connecting to server...	連接伺服器中...		
		Joining game...	加入遊戲中...		
		NEW GAME	新遊戲		
		LOAD GAME	載入遊戲		
		NEW MULTIPLAYER GAME	新增多人遊戲
		LOAD MULTIPLAYER GAME	載入多人遊戲		
		Invalid password	無效的密碼		
		Incompatible game version	不相容的遊戲版本		
		server version	伺服器版本		
		Server is full	伺服器已滿		
		Server is not open to multiplayer	伺服器沒有開放多人連線		
		You are not whitelisted on this server	你不在伺服器允許名單之內
		You are banned from this server	你已被伺服器封鎖
		no errors detected	沒有檢測到錯誤		
		Variables	變數		
		Input 1	輸入 1		
		Input 2	輸入 2		
		Input 3	輸入 3		
		Input 4	輸入 4		
		Input 5	輸入 5		
		Input 6	輸入 6		
		Input 7	輸入 7		
		Input 8	輸入 8		
		Constants	常數		
		Operators	運算子		
		Addition	加		
		Subtraction	減		
		Multiply	乘		
		Divide	除		
		Modulo (fmod)	模 (fmod  回xy除法的浮點餘數)		
		Power	動力		
		Trigonometry (radians)	三角學 (弧度)		
		Sine	正弦(Sin)		
		Cosine	餘弦(Cos)		
		Tangent	正切(Tan)		
		Arcsine	反正弦(Asin)		
		Arccosine	反餘弦(Acos)		
		Arctangent	反正切(Atan)		
		Atan2	Atan2		
		Max of x and y	Max of x and y		
		Min of x and y	Max of x and y		
		Ceil x	Ceil x		
		Floor x	Floor x		
		Round x to nearest y	Round x to nearest y		
		Absolute value of x	Absolute value of x		
		Sign of x (1 if x=0)	Sign of x (1 if x=0)	
		Square root of x	Square root of x		
		Length of vector(x,y)	Length of vector(x,y)		
		len(x,y) (no sqrt)	len(x,y) (no sqrt)		
		Linearly interpolate x to y by z	Linearly interpolate x to y by z		
		Clamp x within y and z	Clamp x within y and z		
		Conversions	Conversions		
		m/s to kmph	m/s to kmph		
		m/s to mph	m/s to mph		
		m/s to knots	m/s to knots		
		Turns to radians	圈數轉弧度		
		Degrees to radians	Углы в радианы		
		Radians to degrees	Радианы в углы		
		True	真(True)
		False	假(False)
		And	And		
		Or	Or		
		Xor	Xor		
		Not	Not		
		Click on the 'Logic' button in the top bar to enter logic connecting mode.	點擊頂部欄 'Logic' 按鈕進入 'Logic' 連接模式.
		Select the 'Data' logic type to view 'On/Off' and 'Number' logic nodes.	Select the 'Data' logic type to view 'On/Off' and 'Number' logic nodes.
		Select the 'Power' logic type to view 'Power' logic nodes.	選擇 'Power' logic 查看 'Power' logic 節點.
		Place a wedge in the highlighted space.\n\nYou can change a component's rotation by hovering over different adjacent surfaces in the vehicle.	Place a wedge in the highlighted space.\n\nYou can change a component's rotation by hovering over different adjacent surfaces in the vehicle.
		Click on the wedge block in the component list to start building with it.	Click on the wedge block in the component list to start building with it.
		Place the next five wedges.\n\nMultiple wedges can be placed at once by dragging.	Place the next five wedges.\n\nMultiple wedges can be placed at once by dragging.
		You can also use the following keys to rotate and flip the component.\n\n[j] rotates on the x axis\n[k] rotates on the y axis\n[l] rotates on the z axis\n\n[u] flips on the x axis\n[i] flips on the y axis\n[o] flips on the z axis\n\n[p] toggles the rotation display	You can also use the following keys to rotate and flip the component.\n\n[j] rotates on the x axis\n[k] rotates on the y axis\n[l] rotates on the z axis\n\n[u] flips on the x axis\n[i] flips on the y axis\n[o] flips on the z axis\n\n[p] toggles the rotation display
		Click on the pyramid block in the component list to start building with it.	Click on the pyramid block in the component list to start building with it.
		First, connect the button in front of seat to the engine's 'on/off' node.\n\nThis will allow you to switch the engine on by pressing the button.\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	First, connect the button in front of seat to the engine's 'on/off' node.\n\nThis will allow you to switch the engine on by pressing the button.\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.
		Next, connect the 'Axis 2 [$[action_up]]/[$[action_down]]' node from the seat to the engine's 'throttle in' node.\n\nThis will allow you to apply throttle power to the engine by pressing [$[action_up]] and [$[action_down]].\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	Next, connect the 'Axis 2 [$[action_up]]/[$[action_down]]' node from the seat to the engine's 'throttle in' node.\n\nThis will allow you to apply throttle power to the engine by pressing [$[action_up]] and [$[action_down]].\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.
		Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to one rudder's 'rotation input' node.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to one rudder's 'rotation input' node.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].
		Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to the the 'rotation input' node in the second rudder.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to the the 'rotation input' node in the second rudder.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].
		Finally, connect the power between the engine and propeller.\n\nThis will pass the power created by the engine through to the propeller and allow you to move the boat forward and back with the throttle.	Finally, connect the power between the engine and propeller.\n\nThis will pass the power created by the engine through to the propeller and allow you to move the boat forward and back with the throttle.
		Click on the large '+' button to create a new save file.	Click on the large '+' button to create a new save file.
		Type in a name for your boat.\nThen click on the 'Save' button.	Type in a name for your boat.\nThen click on the 'Save' button.
		Click on the 'Save' button in the top bar to start saving your boat.	Click on the 'Save' button in the top bar to start saving your boat.
		Press [$[action_missions]] again to close the missions screen.	按 [$[action_missions]] again to close the missions screen.
		You have a new mission.\nPress [$[action_missions]] to bring up the missions screen and get more information.	You have a new mission.\nPress [$[action_missions]] to bring up the missions screen and get more information.
		Click on the 'Missions' button to see an overview of all currently available missions.	Click on the 'Missions' button to see an overview of all currently available missions.
		Click the mission overview to show more detailed information about it.	Click the mission overview to show more detailed information about it.
		Click the 'Toggle Active' button to make this the active mission.\n\nThe mission will then be shown on the map and in game.	Click the 'Toggle Active' button to make this the active mission.\n\nThe mission will then be shown on the map and in game.
		Press [$[action_interact_right]] when looking at the crate to pick it up.	按 [$[action_interact_right]] when looking at the crate to pick it up.
		Press [$[action_interact_right]] (hold and release to throw) to place the crate into your boat.	按 [$[action_interact_right]] (hold and release to throw) to place the crate into your boat.
		Press [$[action_use_seat]] when looking at your pilot seat to start driving your boat.	按 [$[action_use_seat]] when looking at your pilot seat to start driving your boat.
		Press [$[action_camera_mode]] to enter third-person view while in a seat.	按 [$[action_camera_mode]] to enter third-person view while in a seat.
		Press [$[action_camera_mode]] to return to first-person view.	按 [$[action_camera_mode]] to return to first-person view.
		Use [$[action_up]][$[action_left]][$[action_down]][$[action_right]] to drive to the target location.	Use [$[action_up]][$[action_left]][$[action_down]][$[action_right]] to drive to the target location.
		Press [$[action_interact_right]] while looking at the engine on/off button to turn on the engine.	Press [$[action_interact_right]] while looking at the engine on/off button to turn on the engine.
		Press [$[action_use_seat]] to exit your vehicle.	按 [$[action_use_seat]] to exit your vehicle.
		Press [$[action_interact_right]] to pick up the crate.	按 [$[action_interact_right]] to pick up the crate.
		Press [$[action_interact_right]] to place the crate in the drop zone.	按 [$[action_interact_right]] to place the crate in the drop zone.
		Click the sleep button to fast-forward time.	
		Press [$[action_use_seat]] while looking at your bed to go to sleep.	按 [$[action_use_seat]] while looking at your bed to go to sleep.
		Bed	床
		Return to your home base.	回到你的基地.
		Home	家
		Welcome to Stormworks	歡迎來到 Stormworks
		FIX YOUR BOAT	修理你的船
		Your boat was damaged in a recent storm. You will need to use a workbench to fix it.	Your boat was damaged in a recent storm. You will need to use a workbench to fix it.
		Workbench	工作台
		VEHICLE EDITOR	載具編輯器
		This is the vehicle editor, where you can fix your boat.	This is the vehicle editor, where you can fix your boat.
		ROTATE THE CAMERA	旋轉相機
		You can rotate the camera around in the vehicle editor by holding the RIGHT MOUSE BUTTON while dragging, or by holding [shift] and LEFT MOUSE BUTTON.	You can rotate the camera around in the vehicle editor by holding the RIGHT MOUSE BUTTON while dragging, or by holding [shift] and LEFT MOUSE BUTTON.
		MOVE THE CAMERA	移動相機
